	ch11.jpg	ch12.jpg	ch13.jpg	ch14.jpg	ch15.jpg	ch21.jpg	ch22.jpg	ch23.jpg	ch24.jpg	ch25.jpg	cc11.jpg	cc12.jpg	cc13.jpg	cc14.jpg	cc21.jpg	cc22.jpg	cc23.jpg	cc24.jpg	pa11.jpg	pa12.jpg	pa13.jpg	pa14.jpg	pa21.jpg	pa22.jpg	pa23.jpg	pa24.jpg
GgT_Gabor_entrop_s_0.01_theta_0.7854	0.946309	0.929483	0.950547	0.940281	0.937508	0.945822	0.930982	0.940812	0.944021	0.945705	0.934266	0.94688	0.937157	0.948569	0.944839	0.940323	0.94152	0.950086	0.950087	0.946489	0.944914	0.941203	0.948224	0.949973	0.94747	0.944114
GgT_Gabor_energ_s_0.01_theta_1.5708	1.16207e+007	8.74351e+006	1.06098e+007	9.61875e+006	9.4501e+006	8.40212e+006	1.18695e+007	8.58535e+006	8.16381e+006	8.45602e+006	9.82286e+006	1.06916e+007	1.02779e+007	1.02724e+007	8.90373e+006	9.75253e+006	8.92948e+006	1.05662e+007	1.17871e+007	1.24043e+007	7.60321e+006	6.92936e+006	9.86062e+006	6.36548e+006	9.76586e+006	6.91654e+006
GgT_Gabor_entrop_s_0.01_theta_1.5708	0.924415	0.919481	0.928478	0.921505	0.926382	0.921569	0.919621	0.923538	0.920984	0.923707	0.92132	0.920756	0.9204	0.919418	0.927627	0.923076	0.929409	0.921998	0.929374	0.942156	0.91948	0.929814	0.92761	0.93981	0.931976	0.929372
GgT_Gabor_energ_s_0.01_theta_2.3562	1.35318e+006	728132	755341	1.00844e+006	590419	807001	838898	645944	1.02452e+006	686192	598584	839268	674123	1.07028e+006	851548	586114	1.12715e+006	813824	833284	2.17274e+006	530513	632226	952963	340641	1.65911e+006	1.22846e+006
GgT_Gabor_entrop_s_0.01_theta_2.3562	0.95174	0.926946	0.944927	0.949435	0.939231	0.944959	0.932089	0.942474	0.937698	0.944067	0.933879	0.944128	0.942305	0.948606	0.932623	0.941328	0.9462	0.942399	0.942508	0.944236	0.937749	0.945109	0.951555	0.941711	0.942999	0.949169
GgT_Gabor_energ_s_0.01_theta_0	477609	442361	554843	503919	477086	486211	563636	661469	392143	507331	543206	629759	655916	560862	571589	493561	526507	542012	579733	570024	441707	381990	516812	246746	533913	597369
GgT_Gabor_entrop_s_0.01_theta_0	0.895479	0.884247	0.895796	0.903776	0.889982	0.898479	0.885167	0.912452	0.88899	0.895713	0.901099	0.90002	0.908178	0.895844	0.90769	0.886343	0.904804	0.907042	0.912249	0.907968	0.909971	0.905395	0.913793	0.900043	0.922045	0.917523
GgT_Gabor_energ_s_0.01_theta_0.7854	99889.1	40074.5	132497	158335	71288.5	100431	83724.3	87259.6	50914.5	100299	103973	102206	130101	129082	97974.2	111821	104614	117607	155619	273244	134351	105190	109623	229573	218667	173594
GgT_Gabor_entrop_s_0.01_theta_0.7854	0.937752	0.947502	0.9375	0.9383	0.939993	0.945273	0.939664	0.935201	0.939025	0.937181	0.938862	0.944801	0.939281	0.943786	0.937351	0.932429	0.944315	0.935017	0.931507	0.928449	0.93831	0.94248	0.941385	0.929532	0.931042	0.934865
GgT_Gabor_energ_s_0.01_theta_1.5708	721491	488812	550686	553014	486258	444410	593813	449208	398334	496602	576094	605895	545985	564358	518504	481028	512496	553933	536671	683700	446097	380869	511197	447863	636285	630777
GgT_Gabor_entrop_s_0.01_theta_1.5708	0.904073	0.885773	0.89829	0.894417	0.893141	0.898921	0.891383	0.894939	0.888815	0.903266	0.899716	0.910725	0.899606	0.902296	0.912803	0.890882	0.907618	0.90364	0.90266	0.919633	0.902095	0.910041	0.904764	0.911845	0.919547	0.926171
GgT_Gabor_energ_s_0.01_theta_2.3562	98051.8	60472.6	80955.1	117762	65452.8	79624.9	53112.8	72485.5	68324.6	76603	139649	119255	97909	109974	125888	50552.1	97407.9	95602.6	160643	130344	93023.1	109291	98688.9	52569.6	328574	179108
GgT_Gabor_entrop_s_0.01_theta_2.3562	0.937599	0.933216	0.94031	0.940853	0.945091	0.940178	0.941484	0.939453	0.938851	0.941825	0.943189	0.940962	0.939464	0.945711	0.942978	0.945875	0.94372	0.946873	0.937974	0.932631	0.941683	0.931261	0.936787	0.931159	0.935551	0.94077
GgT_Gabor_energ_s_0.02_theta_0	22272.9	21585.1	25483.7	26815.4	23439.1	24124.8	26675.5	32970.6	20026.7	25093	31431.8	34282	39387.7	33919.1	28874.1	25357.6	30615.2	28137.6	31515.2	29898.2	27150.6	29263	30972.1	13184.4	27663.6	28397.8
GgT_Gabor_entrop_s_0.02_theta_0	0.895741	0.882042	0.89714	0.897449	0.896969	0.897286	0.88711	0.903521	0.893015	0.9063	0.904334	0.910074	0.921229	0.908644	0.917086	0.89569	0.918669	0.908045	0.91347	0.900876	0.920207	0.925707	0.915862	0.899355	0.91012	0.906161
GgT_Gabor_energ_s_0.02_theta_0.7854	8374.69	5693.03	10084	12946.5	7870.63	11067.3	8311.98	8188.8	5912.08	10428	18053.8	15188.7	19317.1	13020	14166.4	13441.8	14275.3	14026.6	13481.2	18834.1	22432.9	14248.7	13754.8	13182.9	16798.6	15044.1
GgT_Gabor_entrop_s_0.02_theta_0.7854	0.935872	0.94539	0.939265	0.929064	0.937652	0.942224	0.940075	0.929335	0.940992	0.935459	0.940906	0.94137	0.938479	0.942384	0.943897	0.933368	0.943229	0.941252	0.933036	0.917805	0.937257	0.938348	0.938329	0.914006	0.919128	0.920277
GgT_Gabor_energ_s_0.02_theta_1.5708	32119.9	21901.4	24745.8	25545.1	24409.3	25194.6	27652.1	21795.9	21423.7	24105.7	31050	40148.7	32454.9	33446.2	30427.5	25515.3	29867.2	30541	28133.7	30786.5	29992.9	24172.6	26381	18773.2	29949.8	32995.2
GgT_Gabor_entrop_s_0.02_theta_1.5708	0.887782	0.881983	0.899217	0.899798	0.898366	0.901179	0.887606	0.898738	0.890867	0.903899	0.921544	0.912551	0.907617	0.910892	0.919842	0.895533	0.911707	0.911237	0.904404	0.907723	0.925677	0.915215	0.911246	0.91371	0.904363	0.910292
GgT_Gabor_energ_s_0.02_theta_2.3562	8038.33	8295.46	10407.9	8466.49	9371.98	8270.64	6954.49	7882.56	7678.84	9419.77	16102.1	18656.1	14870.7	16017.3	17028	8057.08	13363.2	12669.8	15516.4	12335.3	12224.8	14044.8	12909.4	6038.96	23712.6	16174.8
