	ch11.jpg	ch12.jpg	ch13.jpg	ch14.jpg	ch15.jpg	ch41.jpg	ch42.jpg	ch43.jpg	ch44.jpg	ch45.jpg	ch46.jpg	cc11.jpg	cc12.jpg	cc13.jpg	cc14.jpg	cc41.jpg	cc42.jpg	cc43.jpg	cc44.jpg	pa11.jpg	pa12.jpg	pa13.jpg	pa14.jpg	pa41.jpg	pa42.jpg	pa43.jpg	pa44.jpg
GcT_Gabor_entrop_s_0.35_theta_2.3562	0.907592	0.889016	0.935248	0.94175	0.900008	0.891031	0.882458	0.915521	0.910099	0.896627	0.88882	0.932293	0.921161	0.926765	0.921768	0.906024	0.917131	0.915066	0.889392	0.893358	0.932886	0.904068	0.917905	0.910609	0.896974	0.879697	0.906532
GcT_wav_db6__A_A_A_energ	92307.3	100874	94314.8	95276	92403.4	92835.3	90231.8	95423.6	90604.9	95365.4	93271.3	101330	100788	100148	97762.6	94485.9	92075.2	93351.4	90433.8	94324.4	102515	88751.8	87856.4	88273	84619.6	85033.7	94399.2
GcT_wav_db6__A_A_A_entrop	0.957853	0.97434	0.957917	0.955556	0.962382	0.965911	0.962776	0.961521	0.953511	0.962	0.964189	0.959809	0.957355	0.956612	0.958397	0.963094	0.95648	0.96088	0.959713	0.952998	0.945214	0.951065	0.950966	0.951758	0.954365	0.95797	0.953092
GcT_wav_db6__A_A_H_energ	478.325	990.025	700.922	596.363	1161.16	860.608	827.412	639.571	549.128	867.73	997.601	1098.5	763.079	615.366	625.517	755.921	767.325	777.272	599.074	436.204	462.218	911.167	824.487	803.42	843.387	936.623	615.517
GcT_wav_db6__A_A_H_entrop	0.856656	0.883323	0.878843	0.877271	0.884187	0.875581	0.871448	0.855255	0.868915	0.884055	0.871292	0.887851	0.883251	0.878186	0.873854	0.85697	0.878898	0.87311	0.860437	0.8562	0.862366	0.886727	0.882021	0.854337	0.861515	0.857377	0.856288
GcT_wav_db6__A_A_V_energ	470.143	1015.71	848.833	647.902	1118.15	947.146	687.918	497.393	412.667	781.741	883.858	862.432	710.387	827.618	563.74	637.735	750.397	660.522	864.941	533.82	438.993	889.544	856.022	937.984	994.012	836.547	541.767
GcT_wav_db6__A_A_V_entrop	0.853117	0.885472	0.881804	0.877897	0.88456	0.876235	0.870525	0.853253	0.858638	0.876256	0.877469	0.880651	0.879694	0.886951	0.86695	0.861443	0.871279	0.8677	0.868166	0.853917	0.855189	0.880062	0.887983	0.854065	0.856271	0.854804	0.851063
GcT_wav_db6__A_A_D_energ	137.447	391.062	199.47	160.982	289.684	250.464	193.941	154.242	136.962	232.456	328.357	225.919	156.007	150.044	125.418	196.999	225.212	200.619	228.849	120.37	102.053	249.682	217.985	283.93	319.4	265.278	162.241
GcT_wav_db6__A_A_D_entrop	0.861722	0.892111	0.8874	0.878877	0.884334	0.880866	0.876168	0.862153	0.867496	0.881996	0.88093	0.88997	0.877838	0.879696	0.866096	0.867811	0.878481	0.875817	0.866342	0.857202	0.859933	0.883899	0.88495	0.858515	0.864002	0.860471	0.85974
GcT_wav_db6__A_H_A_energ	23.0568	57.8106	18.1109	13.4284	31.0918	31.0796	27.841	20.0754	23.0516	31.1417	54.7317	25.1236	17.5157	13.5719	13.2738	27.9427	24.2656	25.0914	27.1265	15.2573	11.3906	27.1206	22.801	26.8744	33.669	40.1038	22.604
GcT_wav_db6__A_H_A_entrop	0.839071	0.87828	0.865951	0.864086	0.856269	0.849807	0.829169	0.837527	0.830721	0.853863	0.853481	0.858961	0.8292	0.838705	0.825869	0.834815	0.860765	0.838062	0.834227	0.815587	0.83052	0.857043	0.853512	0.838476	0.837322	0.823031	0.821091
GcT_wav_db6__A_H_H_energ	102.922	264.974	123.407	93.5411	184.213	165.217	150.035	118.507	110.826	165.011	240.448	174.51	108.904	87.4205	85.1692	146.461	146.341	144.18	126.631	73.628	64.0301	159.598	135.746	160.587	181.072	197.569	113
GcT_wav_db6__A_H_H_entrop	0.841589	0.87657	0.867196	0.860715	0.867477	0.846888	0.848859	0.839039	0.833703	0.859924	0.862517	0.862794	0.856403	0.85167	0.83935	0.841002	0.853908	0.851511	0.842916	0.820809	0.840943	0.8595	0.857858	0.836309	0.839082	0.839444	0.833497
GcT_wav_db6__A_H_V_energ	11.5459	32.8703	9.00792	6.7208	16.1596	17.1913	15.8043	11.6902	11.314	16.7296	29.0864	10.7708	7.77702	6.46832	6.59923	14.4018	12.5389	12.7481	16.6663	9.35861	5.51028	14.4568	10.7258	15.4322	19.5513	20.8129	11.6878
GcT_wav_db6__A_H_V_entrop	0.849402	0.879812	0.879794	0.872918	0.856181	0.853943	0.836119	0.826825	0.847497	0.86381	0.868203	0.876047	0.850096	0.856972	0.832249	0.843943	0.862414	0.850613	0.839982	0.820507	0.842008	0.864179	0.868748	0.847935	0.850045	0.837524	0.838657
GcT_wav_db6__A_H_D_energ	44.4762	140.198	50.7053	37.4771	76.378	76.8277	62.1097	50.8275	44.5648	70.6087	109.341	59.2373	38.1765	33.8461	30.3993	59.6872	64.1703	59.3979	68.5196	33.3339	25.1038	68.8196	56.0229	77.5708	85.0037	83.843	45.8863
GcT_wav_db6__A_H_D_entrop	0.854633	0.886411	0.882521	0.873277	0.873984	0.870121	0.857461	0.845891	0.857891	0.869685	0.875425	0.878223	0.862863	0.863357	0.844933	0.856332	0.866121	0.867799	0.850805	0.835444	0.853307	0.873633	0.872135	0.844028	0.854288	0.850561	0.847801
GcT_wav_db6__A_V_A_energ	19.76	65.3511	20.161	14.5646	28.5391	31.2638	21.6686	15.6483	15.0788	28.5635	37.6851	19.8249	13.4903	14.4365	12.4223	20.0463	24.8655	18.7055	32.1545	18.7493	9.0872	24.3346	19.9518	36.7513	37.4935	32.734	16.2742
GcT_wav_db6__A_V_A_entrop	0.827785	0.87147	0.866599	0.863784	0.854583	0.85453	0.835971	0.832699	0.821952	0.839504	0.855523	0.854735	0.835923	0.848046	0.798319	0.838507	0.85424	0.842359	0.838831	0.821023	0.825645	0.842382	0.849178	0.836143	0.839968	0.822176	0.828319
GcT_wav_db6__A_V_H_energ	10.6104	37.3115	9.82318	6.93294	15.1967	18.1484	12.7898	8.63626	9.07308	15.3077	23.3023	9.09994	7.2692	6.95664	5.77701	12.1993	12.9641	10.7579	17.747	10.5753	4.87186	12.8637	9.68516	20.3132	22.0223	17.9537	10.3483
GcT_wav_db6__A_V_H_entrop	0.840428	0.878551	0.872522	0.873345	0.854872	0.855438	0.840506	0.842551	0.834403	0.857196	0.865548	0.865809	0.841177	0.857866	0.820444	0.840677	0.858696	0.853522	0.844286	0.826431	0.8364	0.857923	0.864519	0.83712	0.845875	0.831117	0.832817
GcT_wav_db6__A_V_V_energ	94.5192	284.113	141.058	101.872	172.275	186.983	116.349	91.5488	77.747	146.957	185.714	128.275	96.5378	105.35	74.211	124.68	147.65	118.338	176.25	89.4558	54.2448	155.602	128.241	201.002	217.877	167.045	92.3002
GcT_wav_db6__A_V_V_entrop	0.833994	0.874791	0.869432	0.865371	0.860363	0.852785	0.850857	0.834959	0.82732	0.848694	0.863106	0.861652	0.844738	0.862741	0.82412	0.834759	0.853178	0.846162	0.848374	0.815463	0.836607	0.853535	0.864235	0.834055	0.843235	0.830782	0.831213
GcT_wav_db6__A_V_D_energ	44.0014	147.788	52.6948	39.0681	70.5574	78.3259	53.634	42.6654	39.9787	65.4301	101.478	53.902	36.9615	35.9886	27.631	57.4438	66.7665	53.7079	75.1354	37.0132	22.8881	65.3316	54.0563	87.617	97.1219	76.562	43.89
GcT_wav_db6__A_V_D_entrop	0.853112	0.884687	0.881912	0.875641	0.874182	0.868485	0.86016	0.848807	0.848324	0.867523	0.868842	0.876996	0.856854	0.867425	0.835432	0.851343	0.865517	0.863494	0.858004	0.838247	0.845394	0.87119	0.86971	0.8436	0.852206	0.845615	0.843925
GcT_wav_db6__A_D_A_energ	3.0928	9.86573	1.75131	1.36007	4.01277	4.68809	4.05761	2.4162	3.03666	4.78632	7.11242	1.65934	1.99454	1.79776	1.86834	3.3664	2.61583	2.70208	4.89811	3.54722	1.66074	3.87656	2.34834	5.1142	7.50653	5.47221	3.56574
GcT_wav_db6__A_D_A_entrop	0.809613	0.862317	0.869049	0.866666	0.833562	0.840131	0.802445	0.799225	0.814118	0.84828	0.844774	0.879135	0.83114	0.83966	0.802826	0.810846	0.851882	0.827677	0.80149	0.814499	0.82413	0.83616	0.852897	0.82425	0.828858	0.806683	0.801826
GcT_wav_db6__A_D_H_energ	6.24495	20.4518	4.35973	3.23532	8.44389	9.59471	7.32795	5.02178	5.65221	8.80109	13.5021	3.86619	4.05428	3.62716	3.4438	6.80611	5.74542	5.78136	9.69788	6.32372	2.87847	7.64097	4.99873	10.3772	12.864	11.098	6.25056
GcT_wav_db6__A_D_H_entrop	0.829734	0.86754	0.872635	0.867402	0.84626	0.846947	0.824716	0.828569	0.819451	0.850526	0.852634	0.869213	0.833806	0.848052	0.810823	0.828856	0.858773	0.837818	0.82597	0.817804	0.832426	0.847628	0.859844	0.828556	0.836654	0.819723	0.815945
GcT_wav_db6__A_D_V_energ	6.5387	19.869	4.06993	3.23645	8.37874	8.98295	8.24825	5.62468	6.02476	9.27462	14.8387	4.58382	4.03162	3.47239	3.47114	7.22558	6.14672	5.78143	9.34949	5.90716	3.09784	7.85533	5.18033	9.46736	12.1274	11.2659	6.69668
GcT_wav_db6__A_D_V_entrop	0.833841	0.873386	0.874208	0.869141	0.847441	0.846918	0.821037	0.821469	0.832677	0.848995	0.858306	0.871196	0.838233	0.844263	0.818038	0.828185	0.857064	0.849873	0.825313	0.818217	0.833573	0.850004	0.860033	0.827448	0.835032	0.822194	0.821697
GcT_wav_db6__A_D_D_energ	18.6628	62.7666	17.5394	12.5545	26.9841	32.6248	23.8733	17.495	17.4173	26.6116	45.7222	17.9094	13.3505	11.7378	10.5447	23.7303	25.0644	20.8604	28.645	15.2471	8.71076	25.0918	19.2871	32.0475	36.1096	34.3617	18.6561
GcT_wav_db6__A_D_D_entrop	0.844667	0.879575	0.876853	0.872659	0.859271	0.85862	0.841167	0.834997	0.840719	0.857984	0.864196	0.871282	0.847393	0.85466	0.822703	0.842234	0.858566	0.855525	0.841261	0.822659	0.846576	0.86053	0.86124	0.833684	0.839382	0.831127	0.832338
GcT_wav_db6__H_A_A_energ	3.00651	5.24319	1.25474	1.10266	2.76131	2.73719	3.33293	2.25034	2.52508	3.0254	4.67678	1.32903	2.4122	1.82665	1.94974	2.83448	1.68577	1.96729	2.83134	2.48159	1.74617	3.20468	2.20904	2.66124	3.90852	5.04074	2.96952
GcT_wav_db6__H_A_A_entrop	0.824471	0.8636	0.872437	0.878861	0.829401	0.807385	0.80229	0.834083	0.821579	0.823633	0.81218	0.862303	0.847886	0.83775	0.850801	0.826801	0.867757	0.838149	0.810846	0.811147	0.832207	0.834806	0.869073	0.819018	0.823509	0.838267	0.809436
GcT_wav_db6__H_A_H_energ	2.98132	5.80232	1.29314	1.09408	3.90361	3.14473	3.21696	2.17516	2.70019	3.91613	5.18503	1.75586	2.16489	1.69125	1.85075	2.8615	1.929	2.02518	3.06693	3.186	1.71346	3.10629	2.0472	3.73684	4.8315	5.34374	3.07152
GcT_wav_db6__H_A_H_entrop	0.827077	0.868187	0.872319	0.871943	0.851495	0.799937	0.813606	0.828407	0.823111	0.845251	0.820318	0.866771	0.850689	0.844254	0.84479	0.819391	0.860547	0.842784	0.8113	0.818049	0.832506	0.833966	0.865407	0.840802	0.833196	0.827594	0.804701
GcT_wav_db6__H_A_V_energ	1.9779	4.16385	0.951986	0.776951	1.96347	1.97091	2.37645	1.42996	1.81796	2.29278	3.49609	0.886606	1.34653	1.14654	1.23692	1.99872	1.13995	1.50675	2.40334	1.98517	1.07818	2.33106	1.48003	2.13265	3.38143	3.59052	2.04611
GcT_wav_db6__H_A_V_entrop	0.832015	0.866813	0.874749	0.877222	0.83584	0.835727	0.801391	0.836067	0.828611	0.836794	0.839864	0.869859	0.841979	0.843518	0.827704	0.82769	0.867778	0.842181	0.812112	0.814289	0.841338	0.836902	0.872281	0.826595	0.832197	0.829977	0.814288
GcT_wav_db6__H_A_D_energ	2.06895	4.52104	0.972832	0.775942	2.79163	2.24115	2.42944	1.55212	1.94906	2.70417	3.85703	1.07367	1.3913	1.1469	1.21914	2.2135	1.31596	1.62852	2.62479	2.44668	1.13194	2.42591	1.45744	2.70161	3.92971	3.94099	2.11812
GcT_wav_db6__H_A_D_entrop	0.831367	0.862509	0.872591	0.876497	0.856692	0.822267	0.810883	0.82838	0.828129	0.850445	0.843277	0.876941	0.846572	0.847075	0.833336	0.817923	0.862064	0.838884	0.808353	0.825831	0.840611	0.838585	0.871051	0.838627	0.839823	0.831458	0.818129
GcT_wav_db6__H_H_A_energ	9.55715	27.592	5.84896	4.43862	11.1238	13.0257	11.301	8.21251	8.04203	15.7705	18.1042	7.12757	6.29737	4.76987	4.97055	10.4312	10.3064	8.29391	10.6396	7.84873	3.87078	9.21526	6.67731	13.6209	14.3386	17.3843	9.26874
GcT_wav_db6__H_H_A_entrop	0.818975	0.863733	0.869188	0.866182	0.842509	0.839048	0.819927	0.805235	0.81722	0.84051	0.841405	0.871382	0.831203	0.837563	0.821115	0.810677	0.844412	0.851215	0.819229	0.816586	0.831574	0.835213	0.851348	0.834349	0.837308	0.820739	0.807374
GcT_wav_db6__H_H_H_energ	4.24097	14.0731	2.79766	2.16013	6.31127	7.05208	5.09418	3.73681	4.37826	8.30691	10.0436	4.46482	3.29036	2.62371	2.70664	4.8205	4.98575	4.03538	5.50548	4.69907	2.38806	5.44328	3.7074	7.39147	9.24218	8.07257	4.62168
GcT_wav_db6__H_H_H_entrop	0.815323	0.87098	0.849308	0.847642	0.82605	0.829514	0.810992	0.794285	0.807267	0.833665	0.827637	0.866002	0.823296	0.819825	0.811628	0.813641	0.847892	0.8367	0.78583	0.805348	0.819107	0.828438	0.842294	0.82916	0.835446	0.805846	0.801328
GcT_wav_db6__H_H_V_energ	5.52587	16.2961	3.22787	2.5358	7.14488	8.38582	7.13034	5.11329	5.1628	8.74563	11.9059	3.73231	3.54107	2.84953	3.03882	6.30064	5.48801	5.00458	7.33698	5.56587	2.45542	6.22125	4.06177	8.83835	10.0204	10.4133	5.84707
